content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
Buenas,5,0,buenas,buenas,buena,['buena']
Muy buena calidad,5,0,buena calidad,buena calidad,buen calidad,"['buen', 'calidad']"
Funciona bien pero me dijeron que esta APP no cobra y de la nada tengo menos 10 que bo envía a tal hora ni me llego al correo y me siento robado como en los otros bancos.......,2,2,funciona bien dijeron app cobra menos bo envía tal hora llego correo siento robado bancos,funciona bien dijeron app cobra menos bo envia tal hora llego correo siento robado bancos,funcionar bien decir app cobrar menos envia tal hora llego correo sentir robado banco,"['funcionar', 'bien', 'decir', 'app', 'cobrar', 'menos', 'envia', 'tal', 'hora', 'llego', 'correo', 'sentir', 'robado', 'banco']"
"Horrible en ocasiones. Ni siquiera puedo tomar este servicio como de confianza ante una emergencia, cuándo necesito recargarle crédito o megas a un familiar, a cada rato me sale una ventana que dice: ""este servicio no se encuentra habilitado"". Ya es el colmo que se haya vuelto casi común estos problemas que presenta este servicio.",2,173,horrible ocasiones siquiera puedo tomar servicio confianza emergencia cuándo necesito recargarle crédito megas familiar cada rato sale ventana dice servicio encuentra habilitado colmo vuelto casi común problemas presenta servicio,horrible ocasiones siquiera puedo tomar servicio confianza emergencia cuando necesito recargarle credito megas familiar cada rato sale ventana dice servicio encuentra habilitado colmo vuelto casi comun problemas presenta servicio,horrible ocasión siquiera poder tomar servicio confianza emergencia necesitar recargar él credito mega familiar cada rato salir ventana decir servicio encontrar habilitado colmo vuelto casi comun  problema presentar servicio,"['horrible', 'ocasión', 'siquiera', 'poder', 'tomar', 'servicio', 'confianza', 'emergencia', 'necesitar', 'recargar', 'él', 'credito', 'mega', 'familiar', 'cada', 'rato', 'salir', 'ventana', 'decir', 'servicio', 'encontrar', 'habilitado', 'colmo', 'vuelto', 'casi', 'comun', 'problema', 'presentar', 'servicio']"
muy bueno,5,0,bueno,bueno,bueno,['bueno']
Muy buena,5,0,buena,buena,buen,['buen']
No puedo realizar recargas de entel y justo activo mi día doble muy mala app,5,0,puedo realizar recargas entel justo activo día doble mala app,puedo realizar recargas entel justo activo dia doble mala app,poder realizar recarga entel justo activo diar doble malo app,"['poder', 'realizar', 'recarga', 'entel', 'justo', 'activo', 'diar', 'doble', 'malo', 'app']"
Se hace transaciones mas rapido que itros banco,5,0,hace transaciones mas rapido itros banco,hace transaciones mas rapido itros banco,hacer transación mas rapido itro banco,"['hacer', 'transación', 'mas', 'rapido', 'itro', 'banco']"
Muy buena app,5,0,buena app,buena app,buen app,"['buen', 'app']"
Lastima q no se puede de 15 para arriba XD POR Q ASTA LA TIENDA DE RECREOS COBRAN POR YAPE,1,0,lastima q puede arriba xd q asta tienda recreos cobran yape,lastima q puede arriba xd q asta tienda recreos cobran yape,lastima poder arriba asta tiendo recreo cobrar yape,"['lastima', 'poder', 'arriba', 'asta', 'tiendo', 'recreo', 'cobrar', 'yape']"
No me deja pagar mis servicios de internet 😔,3,0,deja pagar servicios internet 😔,deja pagar servicios internet 😔,dejar pagar servicio internet,"['dejar', 'pagar', 'servicio', 'internet']"
"No deja crear cuenta porque siendo mayor de edad me pone no puedes crear cuenta porque soy menor, y eso q no me equivoqué cuando puse los datos como el correo o número o otra cosa porque en todo estaba registrado que era mayor de edad, si uviera para poner 0 o 0.5 estrellas la pondría, pero haber si arreglan eso o sifón con ese problema",1,0,deja crear cuenta siendo mayor edad pone puedes crear cuenta menor q equivoqué puse datos correo número cosa registrado mayor edad si uviera poner estrellas pondría haber si arreglan sifón problema,deja crear cuenta siendo mayor edad pone puedes crear cuenta menor q equivoque puse datos correo numero cosa registrado mayor edad si uviera poner estrellas pondria haber si arreglan sifon problema,dejar crear cuenta ser mayor edad poner poder crear cuenta menor equivoque puse dato correo numero cosa registrado mayor edad ar poner estrella pondrio haber arreglar sifon problema,"['dejar', 'crear', 'cuenta', 'ser', 'mayor', 'edad', 'poner', 'poder', 'crear', 'cuenta', 'menor', 'equivoque', 'puse', 'dato', 'correo', 'numero', 'cosa', 'registrado', 'mayor', 'edad', 'ar', 'poner', 'estrella', 'pondrio', 'haber', 'arreglar', 'sifon', 'problema']"
Excelente aplicación,4,0,excelente aplicación,excelente aplicacion,excelente aplicacion,"['excelente', 'aplicacion']"
Porque está fallando para descargar,5,0,fallando descargar,fallando descargar,fallar descargar,"['fallar', 'descargar']"
Buenicima,5,0,buenicima,buenicima,buenicimo,['buenicimo']
"ES UNA DE LAS MEJORES ALTERNATIVAS PARA ACORTAR TIEMPOS Y DISTANCIAS, YA QUE PUEDES PASAR UN DINERO A CUALQUUIER HORA, INCLUSIVE EN LA NOCHE SIN NINGUN PROBLEMA. FUNCIONA DE MARAVILLA.",5,0,mejores alternativas acortar tiempos distancias puedes pasar dinero cualquuier hora inclusive noche ningun problema funciona maravilla,mejores alternativas acortar tiempos distancias puedes pasar dinero cualquuier hora inclusive noche ningun problema funciona maravilla,mejor alternativa acortar tiempo distancia poder pasar dinero cualquuier hora inclusivir noche ningun problema funcionar maravilla,"['mejor', 'alternativa', 'acortar', 'tiempo', 'distancia', 'poder', 'pasar', 'dinero', 'cualquuier', 'hora', 'inclusivir', 'noche', 'ningun', 'problema', 'funcionar', 'maravilla']"
Muy buena app,5,0,buena app,buena app,buen app,"['buen', 'app']"
Acabo de pagar un qr y no me llega el msj del comprobante ni el pago a remitente que pasó??,2,0,acabo pagar qr llega msj comprobante pago remitente pasó,acabo pagar qr llega msj comprobante pago remitente paso,acabar pagar llegar msj comprobante pago remitente paso,"['acabar', 'pagar', 'llegar', 'msj', 'comprobante', 'pago', 'remitente', 'paso']"
Buenas aplicacion,5,0,buenas aplicacion,buenas aplicacion,buena aplicacion,"['buena', 'aplicacion']"
Una super aplicación recomendada para bloquear también es bueno,5,0,super aplicación recomendada bloquear bueno,super aplicacion recomendada bloquear bueno,super aplicacion recomendado bloquear bueno,"['super', 'aplicacion', 'recomendado', 'bloquear', 'bueno']"
Cómo elimino una cuenta,1,0,cómo elimino cuenta,como elimino cuenta,elimino contar,"['elimino', 'contar']"
"No me deja crearme una cuenta , cuando lo intento me saca de la aplicación 😕",1,0,deja crearme cuenta intento saca aplicación 😕,deja crearme cuenta intento saca aplicacion 😕,dejar crearme contar intento sacar aplicacion,"['dejar', 'crearme', 'contar', 'intento', 'sacar', 'aplicacion']"
Cada vez que quiero abrir una cuenta me sale ups hay un error pero no sé que pasa,1,1,cada vez quiero abrir cuenta sale ups error sé pasa,cada vez quiero abrir cuenta sale ups error se pasa,cada vez querer abrir cuenta salir ups error pasar,"['cada', 'vez', 'querer', 'abrir', 'cuenta', 'salir', 'ups', 'error', 'pasar']"
Le había puesto 5 pero con la caídas que han tenido y que han llegado a perjudicar les bajo ⭐⭐,3,0,puesto caídas llegado perjudicar bajo ⭐⭐,puesto caidas llegado perjudicar bajo ⭐⭐,poner caida llegado perjudicar bajo,"['poner', 'caida', 'llegado', 'perjudicar', 'bajo']"
Muy buena,4,0,buena,buena,buen,['buen']
"Muy mal la aplicación, la transferencia de dinero tarda en llegar al destinatario, ocasionando problemas e inconvenientes",1,1,mal aplicación transferencia dinero tarda llegar destinatario ocasionando problemas inconvenientes,mal aplicacion transferencia dinero tarda llegar destinatario ocasionando problemas inconvenientes,mal aplicacion transferencia dinero tardar llegar destinatario ocasionar problema inconveniente,"['mal', 'aplicacion', 'transferencia', 'dinero', 'tardar', 'llegar', 'destinatario', 'ocasionar', 'problema', 'inconveniente']"
Muy buena la app,5,0,buena app,buena app,buen app,"['buen', 'app']"
"No me permite abrirla en mi celular,se queda pegada la pantalla y n inicia",5,0,permite abrirla celularse queda pegada pantalla n inicia,permite abrirla celularse queda pegada pantalla n inicia,permitir abrir él celular él queda pegado pantalla iniciar,"['permitir', 'abrir', 'él', 'celular', 'él', 'queda', 'pegado', 'pantalla', 'iniciar']"
Es súper,4,0,súper,super,super,['super']
cada ves está fuera de servicio para comprar megas o pasar crédito una lastima,1,2,cada ves servicio comprar megas pasar crédito lastima,cada ves servicio comprar megas pasar credito lastima,cada v servicio comprar mega pasar credito lastima,"['cada', 'v', 'servicio', 'comprar', 'mega', 'pasar', 'credito', 'lastima']"
Es perfecta,4,0,perfecta,perfecta,perfecto,['perfecto']
Recién quiero usarlo,3,0,recién quiero usarlo,recien quiero usarlo,recien querer usar él,"['recien', 'querer', 'usar', 'él']"
No sirve,1,0,sirve,sirve,servir,['servir']
Todo blu,5,0,blu,blu,blu,['blu']
Malo,4,0,malo,malo,malo,['malo']
Muy mala la verdad quiero crear yape y no me permite solo me manda que no esta disponible la funcionalidad,1,0,mala verdad quiero crear yape permite solo manda disponible funcionalidad,mala verdad quiero crear yape permite solo manda disponible funcionalidad,malo verdad querer crear yape permitir solo manda disponible funcionalidad,"['malo', 'verdad', 'querer', 'crear', 'yape', 'permitir', 'solo', 'manda', 'disponible', 'funcionalidad']"
No puedo crear mi cuenta me dice: por el momemto no esta disponible esta funcionalidad,1,1,puedo crear cuenta dice momemto disponible funcionalidad,puedo crear cuenta dice momemto disponible funcionalidad,poder crear cuenta decir momemto disponible funcionalidad,"['poder', 'crear', 'cuenta', 'decir', 'momemto', 'disponible', 'funcionalidad']"
Xq no puedo crear mi cuenta yape,4,0,xq puedo crear cuenta yape,xq puedo crear cuenta yape,poder crear cuenta yape,"['poder', 'crear', 'cuenta', 'yape']"
"Es una decepción realmente quería registrarme pero ni me deja, puedo instalar la aplicación y todo pero siempre me aparece un error a la hora de querer registrarme va Haci días pero no puedo 😕 espero mejoren la app y tomen en cuenta",1,251,decepción realmente quería registrarme deja puedo instalar aplicación siempre aparece error hora querer registrarme va haci días puedo 😕 espero mejoren app tomen cuenta,decepcion realmente queria registrarme deja puedo instalar aplicacion siempre aparece error hora querer registrarme va haci dias puedo 😕 espero mejoren app tomen cuenta,decepcion realmente querio registrarme dejar poder instalar aplicacion siempre aparecer error horo querer registrar yo haci dia poder esperar mejoren app tomar contar,"['decepcion', 'realmente', 'querio', 'registrarme', 'dejar', 'poder', 'instalar', 'aplicacion', 'siempre', 'aparecer', 'error', 'horo', 'querer', 'registrar', 'yo', 'haci', 'dia', 'poder', 'esperar', 'mejoren', 'app', 'tomar', 'contar']"
"Su método de recuperación de cuentas es muy horrible tengo que sacarme una foto, y lo entiendo pero lo he hecho varias veces y nada y eso que con las luces encendidas y lo único que me dicen en soporte es que espere hasta el siguiente día",1,0,método recuperación cuentas horrible sacarme foto entiendo hecho varias veces luces encendidas único dicen soporte espere siguiente día,metodo recuperacion cuentas horrible sacarme foto entiendo hecho varias veces luces encendidas unico dicen soporte espere siguiente dia,metodo recuperacion cuenta horrible sacarme foto entender hecho varios vez luz encendido unico decir soporte esperar siguiente diar,"['metodo', 'recuperacion', 'cuenta', 'horrible', 'sacarme', 'foto', 'entender', 'hecho', 'varios', 'vez', 'luz', 'encendido', 'unico', 'decir', 'soporte', 'esperar', 'siguiente', 'diar']"
Es buena la aplicación,3,1,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
En esos momentos tengo un problema,5,0,momentos problema,momentos problema,momento problema,"['momento', 'problema']"
No funciona la app no me deja ingresar,1,0,funciona app deja ingresar,funciona app deja ingresar,funcionar app dejar ingresar,"['funcionar', 'app', 'dejar', 'ingresar']"
Excelente,5,0,excelente,excelente,excelente,['excelente']
No se si ami nomas me pasa pero no me deja entrar ni crear mi cuenta nuevo,1,0,si ami nomas pasa deja entrar crear cuenta nuevo,si ami nomas pasa deja entrar crear cuenta nuevo,ami noma pasar dejar entrar crear cuenta nuevo,"['ami', 'noma', 'pasar', 'dejar', 'entrar', 'crear', 'cuenta', 'nuevo']"
E intentado crear una cuenta desde ayer y no pude Solo me dice que no está disponible la funcionalidad,1,0,intentado crear cuenta ayer pude solo dice disponible funcionalidad,intentado crear cuenta ayer pude solo dice disponible funcionalidad,intentar crear cuenta ayer poder solo decir disponible funcionalidad,"['intentar', 'crear', 'cuenta', 'ayer', 'poder', 'solo', 'decir', 'disponible', 'funcionalidad']"
Es muy buena,5,0,buena,buena,buen,['buen']
Muy buena aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
Una triste recarga de 100 no puede,1,0,triste recarga puede,triste recarga puede,triste recarga poder,"['triste', 'recarga', 'poder']"
Buenas aplicación,5,0,buenas aplicación,buenas aplicacion,buena aplicacion,"['buena', 'aplicacion']"
"App toda idiota, los de soporte tardan en responder, descuentan dinero y no llega a los destinatarios.",1,0,app toda idiota soporte tardan responder descuentan dinero llega destinatarios,app toda idiota soporte tardan responder descuentan dinero llega destinatarios,app todo idiota soporte tardar responder descontar dinero llegar destinatario,"['app', 'todo', 'idiota', 'soporte', 'tardar', 'responder', 'descontar', 'dinero', 'llegar', 'destinatario']"
"Pésima app, no lo recomiendo para nada, para hacer una simple transferencia debes esperar 24 horas y luego recién puedes hacer el reclamo.. Pésimo.... Pésimo... 🤬",1,4,pésima app recomiendo hacer simple transferencia debes esperar horas luego recién puedes hacer reclamo pésimo pésimo 🤬,pesima app recomiendo hacer simple transferencia debes esperar horas luego recien puedes hacer reclamo pesimo pesimo 🤬,pesimo app recomeir hacer simple transferencia deber esperar hora luego recien poder hacer reclamo pesimo pesimo,"['pesimo', 'app', 'recomeir', 'hacer', 'simple', 'transferencia', 'deber', 'esperar', 'hora', 'luego', 'recien', 'poder', 'hacer', 'reclamo', 'pesimo', 'pesimo']"
Ya No deja transferir a otros bancos,1,0,deja transferir bancos,deja transferir bancos,dejar transferir banco,"['dejar', 'transferir', 'banco']"
Una de las mejores aplicaciones,5,0,mejores aplicaciones,mejores aplicaciones,mejor aplicación,"['mejor', 'aplicación']"
Me arrepentí es la mejor app que vi aunque falta para recargar en juegos pero la mejor app descargenla,5,0,arrepentí mejor app vi aunque falta recargar juegos mejor app descargenla,arrepenti mejor app vi aunque falta recargar juegos mejor app descargenla,arrepenti mejor app aunque faltar recargar juego mejor app descargenla,"['arrepenti', 'mejor', 'app', 'aunque', 'faltar', 'recargar', 'juego', 'mejor', 'app', 'descargenla']"
Almenos pongan que recargas de 20 no te da doble carga uno piensa que puede recargar como en los puntos de recarga muy mal en ese aspecto,1,2,almenos pongan recargas da doble carga piensa puede recargar puntos recarga mal aspecto,almenos pongan recargas da doble carga piensa puede recargar puntos recarga mal aspecto,almeno poner recarga doble carga pienso poder recargar punto recargar mal aspecto,"['almeno', 'poner', 'recarga', 'doble', 'carga', 'pienso', 'poder', 'recargar', 'punto', 'recargar', 'mal', 'aspecto']"
Es bueno peRo no puede registrarme,2,0,bueno puede registrarme,bueno puede registrarme,bueno poder registrar yo,"['bueno', 'poder', 'registrar', 'yo']"
"Me gustó la aplicación, es rápida y tiene varios servicios, lo único malo que le encontré es que yendo a la sección de movimientos sólo te muestran los datos mínimos de cada transacción, no te despliega el comprobante con todos los detalles de la misma, y me gustaría que se pudiera cambiar es",4,0,gustó aplicación rápida varios servicios único malo encontré yendo sección movimientos sólo muestran datos mínimos cada transacción despliega comprobante detalles misma gustaría pudiera cambiar,gusto aplicacion rapida varios servicios unico malo encontre yendo seccion movimientos solo muestran datos minimos cada transaccion despliega comprobante detalles misma gustaria pudiera cambiar,gusto aplicacion rapido varios servicio unico malo encontrar ir seccion movimiento solo mostrar dato minimo cada transaccion desplegar comprobante detalle mismo gustaria poder cambiar,"['gusto', 'aplicacion', 'rapido', 'varios', 'servicio', 'unico', 'malo', 'encontrar', 'ir', 'seccion', 'movimiento', 'solo', 'mostrar', 'dato', 'minimo', 'cada', 'transaccion', 'desplegar', 'comprobante', 'detalle', 'mismo', 'gustaria', 'poder', 'cambiar']"
Muy bueno,5,0,bueno,bueno,bueno,['bueno']
Buena,5,0,buena,buena,buen,['buen']
Recién vere,2,0,recién vere,recien vere,recien verir,"['recien', 'verir']"
Super experiencia la mejor de las maneras más eficaz para una persona y con una facilidad y seguro,5,1,super experiencia mejor maneras eficaz persona facilidad seguro,super experiencia mejor maneras eficaz persona facilidad seguro,super experiencia mejor manera eficaz persona facilidad seguro,"['super', 'experiencia', 'mejor', 'manera', 'eficaz', 'persona', 'facilidad', 'seguro']"
No quiere registrar mi número dise q ya fue usado silo compré resiente mente,1,0,quiere registrar número dise q usado silo compré resiente mente,quiere registrar numero dise q usado silo compre resiente mente,querer registrar numero disar usado silo compre resiente mente,"['querer', 'registrar', 'numero', 'disar', 'usado', 'silo', 'compre', 'resiente', 'mente']"
"La aplicación es excelente, pero hay un gran detalle no hay la opción para volver a ver el comprobante de transferencia o pago, cosa que si no lo guardas o por error cerras la aplicación, no podes volver a ver el comprobante de la transacción. Se que yape puede habilitar esta opción será grandioso.",4,215,aplicación excelente gran detalle opción volver ver comprobante transferencia pago cosa si guardas error cerras aplicación podes volver ver comprobante transacción yape puede habilitar opción grandioso,aplicacion excelente gran detalle opcion volver ver comprobante transferencia pago cosa si guardas error cerras aplicacion podes volver ver comprobante transaccion yape puede habilitar opcion grandioso,aplicacion excelente gran detalle opcion volver ver comprobante transferencia pago cosa guarda error cerra aplicacion pod volver ver comprobante transaccion yape poder habilitar opcion grandioso,"['aplicacion', 'excelente', 'gran', 'detalle', 'opcion', 'volver', 'ver', 'comprobante', 'transferencia', 'pago', 'cosa', 'guarda', 'error', 'cerra', 'aplicacion', 'pod', 'volver', 'ver', 'comprobante', 'transaccion', 'yape', 'poder', 'habilitar', 'opcion', 'grandioso']"
Mui bien,5,0,mui bien,mui bien,mui bien,"['mui', 'bien']"
Posi,5,0,posi,posi,posi,['posi']
Me sirve,5,0,sirve,sirve,servir,['servir']
No me funciona,2,0,funciona,funciona,funcionar,['funcionar']
Una gran ventaja en todo,5,0,gran ventaja,gran ventaja,gran ventaja,"['gran', 'ventaja']"
Aveces se traba la apps y no puedo recargar nada de crédito a ningún número,2,0,aveces traba apps puedo recargar crédito ningún número,aveces traba apps puedo recargar credito ningun numero,avez trar apps poder recargar credito ningun numero,"['avez', 'trar', 'apps', 'poder', 'recargar', 'credito', 'ningun', 'numero']"
"Es mejor que de todo, otro billetera movil que he usado, muy buena no se necesita tener mega para ingresar....",5,0,mejor billetera movil usado buena necesita tener mega ingresar,mejor billetera movil usado buena necesita tener mega ingresar,mejor billetera movil usado buen necesitar tener mega ingresar,"['mejor', 'billetera', 'movil', 'usado', 'buen', 'necesitar', 'tener', 'mega', 'ingresar']"
La mejor billetera móvil...,5,0,mejor billetera móvil,mejor billetera movil,mejor billetera movil,"['mejor', 'billetera', 'movil']"
Está aplicación no sirve más bien roba plata de otros ahora Ami madre me quisieron dar plata por QR y no le llegó ya que la aplicación no sirve,1,0,aplicación sirve bien roba plata ahora ami madre quisieron dar plata qr llegó aplicación sirve,aplicacion sirve bien roba plata ahora ami madre quisieron dar plata qr llego aplicacion sirve,aplicacion servir bien robar plato ahora ami madre querer dar plata llego aplicacion servir,"['aplicacion', 'servir', 'bien', 'robar', 'plato', 'ahora', 'ami', 'madre', 'querer', 'dar', 'plata', 'llego', 'aplicacion', 'servir']"
Es muy buena app lo bonito fuera que tuviera que pagar la luz del Beni ende del Beni para que sea mejor se lo agradecería que lo implementen y que mandaron en PDF la factura gracias,4,1,buena app bonito pagar luz beni ende beni mejor agradecería implementen mandaron pdf factura gracias,buena app bonito pagar luz beni ende beni mejor agradeceria implementen mandaron pdf factura gracias,buen app bonito pagar luz beni ende beni mejor agradecerio implementar mandar pdf factura gracias,"['buen', 'app', 'bonito', 'pagar', 'luz', 'beni', 'ende', 'beni', 'mejor', 'agradecerio', 'implementar', 'mandar', 'pdf', 'factura', 'gracias']"
"Me gustaría que habiliten internacional con Perú, para yapear de Perú a Bolivia.",2,0,gustaría habiliten internacional perú yapear perú bolivia,gustaria habiliten internacional peru yapear peru bolivia,gustario habilitir internacional peru yapear peru bolivia,"['gustario', 'habilitir', 'internacional', 'peru', 'yapear', 'peru', 'bolivia']"
por favor sería bueno que se vea el comprobante es lo más importante en este tipo de transacción,1,0,favor bueno vea comprobante importante tipo transacción,favor bueno vea comprobante importante tipo transaccion,favor bueno ver comprobante importante tipo transaccion,"['favor', 'bueno', 'ver', 'comprobante', 'importante', 'tipo', 'transaccion']"
"No me deja entrar a la app,se sale rapido",1,0,deja entrar appse sale rapido,deja entrar appse sale rapido,dejar entrar appse salir rapido,"['dejar', 'entrar', 'appse', 'salir', 'rapido']"
Muy buen trabajo,5,0,buen trabajo,buen trabajo,buen trabajo,"['buen', 'trabajo']"
Muy mala no puede crear mi cuenta,1,0,mala puede crear cuenta,mala puede crear cuenta,malo poder crear cuenta,"['malo', 'poder', 'crear', 'cuenta']"
Buena experiencia,4,0,buena experiencia,buena experiencia,buen experiencia,"['buen', 'experiencia']"
Super,5,0,super,super,super,['super']
Para estar seguro,5,0,seguro,seguro,seguro,['seguro']
Super,5,0,super,super,super,['super']
Una buenísima aplicación,5,0,buenísima aplicación,buenisima aplicacion,buenisima aplicacion,"['buenisima', 'aplicacion']"
Me acaban de robar 3bs yo me ise recarga de paquete entel 3bs por 24 hrs y no me llego me descontó 3bs pero no me llegaron los megas,1,1,acaban robar bs ise recarga paquete entel bs hrs llego descontó bs llegaron megas,acaban robar bs ise recarga paquete entel bs hrs llego desconto bs llegaron megas,acabar robar ise recargo paquete entel hrs llego desconto llegar mega,"['acabar', 'robar', 'ise', 'recargo', 'paquete', 'entel', 'hrs', 'llego', 'desconto', 'llegar', 'mega']"
Es rápida y eficiente,5,0,rápida eficiente,rapida eficiente,rapido eficiente,"['rapido', 'eficiente']"
No puedo crear mi yape y no tengo ninguna cuenta¿Por qué?,2,0,puedo crear yape ninguna cuenta¿por,puedo crear yape ninguna cuenta¿por,poder crear yape ninguno,"['poder', 'crear', 'yape', 'ninguno']"
Esta aplicación es una maravilla Es muy útil y fácil de usar,5,0,aplicación maravilla útil fácil usar,aplicacion maravilla util facil usar,aplicacion maravilla util facil usar,"['aplicacion', 'maravilla', 'util', 'facil', 'usar']"
No veo la opcion de recargar para juegos,1,1,veo opcion recargar juegos,veo opcion recargar juegos,ver opcion recargar juegos,"['ver', 'opcion', 'recargar', 'juegos']"
Muy buena,5,0,buena,buena,buen,['buen']
Hola Buenos Dias Agradecerle por lo que hacen del día a día por nosotros que Nuestro Señor Jesucristo se lo multiplique muchísimo más 🤍✨🫂,5,0,hola buenos dias agradecerle hacen día día señor jesucristo multiplique muchísimo 🤍✨🫂,hola buenos dias agradecerle hacen dia dia senor jesucristo multiplique muchisimo 🤍✨🫂,holar buen dia agradecer él hacer dia dia senor jesucristo multiplique muchisimo,"['holar', 'buen', 'dia', 'agradecer', 'él', 'hacer', 'dia', 'dia', 'senor', 'jesucristo', 'multiplique', 'muchisimo']"
TA chido,4,0,ta chido,ta chido,chir,['chir']
Bueno,5,0,bueno,bueno,bueno,['bueno']
Es muy lento yape,2,0,lento yape,lento yape,lento yape,"['lento', 'yape']"
🤙,4,0,🤙,🤙,,[]
Dejen de molestar con los anuncios apenas puedo juguar😡😡,1,0,dejen molestar anuncios apenas puedo juguar😡😡,dejen molestar anuncios apenas puedo juguar😡😡,dejar molestar anuncio apenas poder,"['dejar', 'molestar', 'anuncio', 'apenas', 'poder']"
Sería más fácil .. si yape te prestará dinero 🤑,3,0,fácil si yape prestará dinero 🤑,facil si yape prestara dinero 🤑,facil yape prestar dinero,"['facil', 'yape', 'prestar', 'dinero']"
Es un fracaso,1,0,fracaso,fracaso,fracaso,['fracaso']
Excepcional,5,0,excepcional,excepcional,excepcional,['excepcional']
Es buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
No me deja crear cuenta PS dice que no está disponible la funcionalidad,1,2,deja crear cuenta ps dice disponible funcionalidad,deja crear cuenta ps dice disponible funcionalidad,dejar crear cuenta decir disponible funcionalidad,"['dejar', 'crear', 'cuenta', 'decir', 'disponible', 'funcionalidad']"
Ola es buena aplicación lo único q quisiera esq cm somos de santa cruz bolivia y eh visto q en Perú ya asen permito préstamos acá igual lo validen y q cuando mandemos comprobante salga nombre ya q Aceves no sacamos cap y nos olvidamos después una buena aplicación,5,0,ola buena aplicación único q quisiera esq cm santa cruz bolivia eh visto q perú asen permito préstamos acá igual validen q mandemos comprobante salga nombre q aceves sacamos cap olvidamos después buena aplicación,ola buena aplicacion unico q quisiera esq cm santa cruz bolivia eh visto q peru asen permito prestamos aca igual validen q mandemos comprobante salga nombre q aceves sacamos cap olvidamos despues buena aplicacion,ola buen aplicacion unico querer esq santa cruz bolivia visto peru ar permito prestar aca igual validir mandemos comprobante salir nombre acev sacar cap olvidamos despu buen aplicacion,"['ola', 'buen', 'aplicacion', 'unico', 'querer', 'esq', 'santa', 'cruz', 'bolivia', 'visto', 'peru', 'ar', 'permito', 'prestar', 'aca', 'igual', 'validir', 'mandemos', 'comprobante', 'salir', 'nombre', 'acev', 'sacar', 'cap', 'olvidamos', 'despu', 'buen', 'aplicacion']"
"Esta muy buena, la aplicación me brindo más seguridad y atención, pero tengo problemas para cambiar de número me produjo un error del internet nada grave me ayudarán en eso xfavor",4,1,buena aplicación brindo seguridad atención problemas cambiar número produjo error internet grave ayudarán xfavor,buena aplicacion brindo seguridad atencion problemas cambiar numero produjo error internet grave ayudaran xfavor,buen aplicacion brindo seguridad atencion problema cambiar numero producir error internet grave ayudarar xfavor,"['buen', 'aplicacion', 'brindo', 'seguridad', 'atencion', 'problema', 'cambiar', 'numero', 'producir', 'error', 'internet', 'grave', 'ayudarar', 'xfavor']"
No me puede crear mi cuenta no me está gustando nada,1,0,puede crear cuenta gustando,puede crear cuenta gustando,poder crear cuenta gustar,"['poder', 'crear', 'cuenta', 'gustar']"
Buena,5,0,buena,buena,buen,['buen']
Super bien,5,0,super bien,super bien,super bien,"['super', 'bien']"
Fulll,5,0,fulll,fulll,fulll,['fulll']
Bien,5,0,bien,bien,bien,['bien']
Bien,5,0,bien,bien,bien,['bien']
Es jenial,5,0,jenial,jenial,jenial,['jenial']
lo pude descargar pero no quiere abrir la app dice que no esta disponible la app,1,1,pude descargar quiere abrir app dice disponible app,pude descargar quiere abrir app dice disponible app,poder descargar querer abrir app decir disponible app,"['poder', 'descargar', 'querer', 'abrir', 'app', 'decir', 'disponible', 'app']"
"Brinda, un buen servicio.",4,1,brinda buen servicio,brinda buen servicio,brindar buen servicio,"['brindar', 'buen', 'servicio']"
Se colgo,5,0,colgo,colgo,colgo,['colgo']
En el día excelente pero en la noche se pierde el sistema deberían corregir esa falla ...,2,1,día excelente noche pierde sistema deberían corregir falla,dia excelente noche pierde sistema deberian corregir falla,dia excelente noche perder sistema deberiar corregir falla,"['dia', 'excelente', 'noche', 'perder', 'sistema', 'deberiar', 'corregir', 'falla']"
Pésimo xq no entra en el mío,1,0,pésimo xq entra,pesimo xq entra,pesimo entrar,"['pesimo', 'entrar']"
Horrible mucho se cuelga el sistema no la recomiendo,1,1,horrible cuelga sistema recomiendo,horrible cuelga sistema recomiendo,horrible colgar sistema recomeir,"['horrible', 'colgar', 'sistema', 'recomeir']"
Excelente aplicación pero para los estafadores que utilizan esta ap para que los depositan y no se pueda devolver el dinero obtenido y lo peor se inventan datos ni para denunciarlos con esta ap tanta personas cayeron estafadas,4,0,excelente aplicación estafadores utilizan ap depositan pueda devolver dinero obtenido peor inventan datos denunciarlos ap tanta personas cayeron estafadas,excelente aplicacion estafadores utilizan ap depositan pueda devolver dinero obtenido peor inventan datos denunciarlos ap tanta personas cayeron estafadas,excelente aplicacion estafador utilizar depositar poder devolver dinero obtenido peor inventar dato denunciarlo tanto persona caer estafada,"['excelente', 'aplicacion', 'estafador', 'utilizar', 'depositar', 'poder', 'devolver', 'dinero', 'obtenido', 'peor', 'inventar', 'dato', 'denunciarlo', 'tanto', 'persona', 'caer', 'estafada']"
Excelente,5,0,excelente,excelente,excelente,['excelente']
Genial,5,0,genial,genial,genial,['genial']
