content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
No puedo crear mi cuenta me dice: por el momemto no esta disponible esta funcionalidad,1,1,puedo crear cuenta dice momemto disponible funcionalidad,puedo crear cuenta dice momemto disponible funcionalidad,poder crear cuenta decir momemto disponible funcionalidad
Xq no puedo crear mi cuenta yape,4,0,xq puedo crear cuenta yape,xq puedo crear cuenta yape,xq poder crear cuenta yape
"Es una decepción realmente quería registrarme pero ni me deja, puedo instalar la aplicación y todo pero siempre me aparece un error a la hora de querer registrarme va Haci días pero no puedo 😕 espero mejoren la app y tomen en cuenta",1,251,decepción realmente quería registrarme deja puedo instalar aplicación siempre aparece error hora querer registrarme va haci días puedo 😕 espero mejoren app tomen cuenta,decepcion realmente queria registrarme deja puedo instalar aplicacion siempre aparece error hora querer registrarme va haci dias puedo 😕 espero mejoren app tomen cuenta,decepcion realmente querio registrarme dejar poder instalar aplicacion siempre aparecer error horo querer registrar yo va haci dia poder 😕 esperar mejoren app tomar contar
"Su método de recuperación de cuentas es muy horrible tengo que sacarme una foto, y lo entiendo pero lo he hecho varias veces y nada y eso que con las luces encendidas y lo único que me dicen en soporte es que espere hasta el siguiente día",1,0,método recuperación cuentas horrible sacarme foto entiendo hecho varias veces luces encendidas único dicen soporte espere siguiente día,metodo recuperacion cuentas horrible sacarme foto entiendo hecho varias veces luces encendidas unico dicen soporte espere siguiente dia,metodo recuperacion cuenta horrible sacarme foto entender hecho varios vez luz encendido unico decir soporte esperar siguiente diar
Es buena la aplicación,3,1,buena aplicación,buena aplicacion,buen aplicacion
En esos momentos tengo un problema,5,0,momentos problema,momentos problema,momento problema
No funciona la app no me deja ingresar,1,0,funciona app deja ingresar,funciona app deja ingresar,funcionar app dejar ingresar
Excelente,5,0,excelente,excelente,excelente
No se si ami nomas me pasa pero no me deja entrar ni crear mi cuenta nuevo,1,0,si ami nomas pasa deja entrar crear cuenta nuevo,si ami nomas pasa deja entrar crear cuenta nuevo,si ami noma pasar dejar entrar crear cuenta nuevo
E intentado crear una cuenta desde ayer y no pude Solo me dice que no está disponible la funcionalidad,1,0,intentado crear cuenta ayer pude solo dice disponible funcionalidad,intentado crear cuenta ayer pude solo dice disponible funcionalidad,intentar crear cuenta ayer poder solo decir disponible funcionalidad
Es muy buena,5,0,buena,buena,buen
Muy buena aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
Una triste recarga de 100 no puede,1,0,triste recarga puede,triste recarga puede,triste recarga poder
Buenas aplicación,5,0,buenas aplicación,buenas aplicacion,buena aplicacion
"App toda idiota, los de soporte tardan en responder, descuentan dinero y no llega a los destinatarios.",1,0,app toda idiota soporte tardan responder descuentan dinero llega destinatarios,app toda idiota soporte tardan responder descuentan dinero llega destinatarios,app todo idiota soporte tardar responder descontar dinero llegar destinatario
"Pésima app, no lo recomiendo para nada, para hacer una simple transferencia debes esperar 24 horas y luego recién puedes hacer el reclamo.. Pésimo.... Pésimo... 🤬",1,4,pésima app recomiendo hacer simple transferencia debes esperar horas luego recién puedes hacer reclamo pésimo pésimo 🤬,pesima app recomiendo hacer simple transferencia debes esperar horas luego recien puedes hacer reclamo pesimo pesimo 🤬,pesimo app recomeir hacer simple transferencia deber esperar hora luego recien poder hacer reclamo pesimo pesimo 🤬
Ya No deja transferir a otros bancos,1,0,deja transferir bancos,deja transferir bancos,dejar transferir banco
Una de las mejores aplicaciones,5,0,mejores aplicaciones,mejores aplicaciones,mejor aplicación
Me arrepentí es la mejor app que vi aunque falta para recargar en juegos pero la mejor app descargenla,5,0,arrepentí mejor app vi aunque falta recargar juegos mejor app descargenla,arrepenti mejor app vi aunque falta recargar juegos mejor app descargenla,arrepenti mejor app ver aunque faltar recargar juego mejor app descargenla
Almenos pongan que recargas de 20 no te da doble carga uno piensa que puede recargar como en los puntos de recarga muy mal en ese aspecto,1,2,almenos pongan recargas da doble carga piensa puede recargar puntos recarga mal aspecto,almenos pongan recargas da doble carga piensa puede recargar puntos recarga mal aspecto,almeno poner recarga dar doble carga pienso poder recargar punto recargar mal aspecto
Es bueno peRo no puede registrarme,2,0,bueno puede registrarme,bueno puede registrarme,bueno poder registrar yo
"Me gustó la aplicación, es rápida y tiene varios servicios, lo único malo que le encontré es que yendo a la sección de movimientos sólo te muestran los datos mínimos de cada transacción, no te despliega el comprobante con todos los detalles de la misma, y me gustaría que se pudiera cambiar es",4,0,gustó aplicación rápida varios servicios único malo encontré yendo sección movimientos sólo muestran datos mínimos cada transacción despliega comprobante detalles misma gustaría pudiera cambiar,gusto aplicacion rapida varios servicios unico malo encontre yendo seccion movimientos solo muestran datos minimos cada transaccion despliega comprobante detalles misma gustaria pudiera cambiar,gusto aplicacion rapido varios servicio unico malo encontrar ir seccion movimiento solo mostrar dato minimo cada transaccion desplegar comprobante detalle mismo gustaria poder cambiar
Muy bueno,5,0,bueno,bueno,bueno
Buena,5,0,buena,buena,buen
Recién vere,2,0,recién vere,recien vere,recien verir
Super experiencia la mejor de las maneras más eficaz para una persona y con una facilidad y seguro,5,1,super experiencia mejor maneras eficaz persona facilidad seguro,super experiencia mejor maneras eficaz persona facilidad seguro,super experiencia mejor manera eficaz persona facilidad seguro
No quiere registrar mi número dise q ya fue usado silo compré resiente mente,1,0,quiere registrar número dise q usado silo compré resiente mente,quiere registrar numero dise q usado silo compre resiente mente,querer registrar numero disar q usado silo compre resiente mente
"La aplicación es excelente, pero hay un gran detalle no hay la opción para volver a ver el comprobante de transferencia o pago, cosa que si no lo guardas o por error cerras la aplicación, no podes volver a ver el comprobante de la transacción. Se que yape puede habilitar esta opción será grandioso.",4,215,aplicación excelente gran detalle opción volver ver comprobante transferencia pago cosa si guardas error cerras aplicación podes volver ver comprobante transacción yape puede habilitar opción grandioso,aplicacion excelente gran detalle opcion volver ver comprobante transferencia pago cosa si guardas error cerras aplicacion podes volver ver comprobante transaccion yape puede habilitar opcion grandioso,aplicacion excelente gran detalle opcion volver ver comprobante transferencia pago cosa si guarda error cerra aplicacion pod volver ver comprobante transaccion yape poder habilitar opcion grandioso
Mui bien,5,0,mui bien,mui bien,mui bien
Posi,5,0,posi,posi,posi
Me sirve,5,0,sirve,sirve,servir
No me funciona,2,0,funciona,funciona,funcionar
Una gran ventaja en todo,5,0,gran ventaja,gran ventaja,gran ventaja
Aveces se traba la apps y no puedo recargar nada de crédito a ningún número,2,0,aveces traba apps puedo recargar crédito ningún número,aveces traba apps puedo recargar credito ningun numero,avez trar apps poder recargar credito ningun numero
"Es mejor que de todo, otro billetera movil que he usado, muy buena no se necesita tener mega para ingresar....",5,0,mejor billetera movil usado buena necesita tener mega ingresar,mejor billetera movil usado buena necesita tener mega ingresar,mejor billetera movil usado buen necesitar tener mega ingresar
La mejor billetera móvil...,5,0,mejor billetera móvil,mejor billetera movil,mejor billetera movil
Está aplicación no sirve más bien roba plata de otros ahora Ami madre me quisieron dar plata por QR y no le llegó ya que la aplicación no sirve,1,0,aplicación sirve bien roba plata ahora ami madre quisieron dar plata qr llegó aplicación sirve,aplicacion sirve bien roba plata ahora ami madre quisieron dar plata qr llego aplicacion sirve,aplicacion servir bien robar plato ahora ami madre querer dar plata qr llego aplicacion servir
Es muy buena app lo bonito fuera que tuviera que pagar la luz del Beni ende del Beni para que sea mejor se lo agradecería que lo implementen y que mandaron en PDF la factura gracias,4,1,buena app bonito pagar luz beni ende beni mejor agradecería implementen mandaron pdf factura gracias,buena app bonito pagar luz beni ende beni mejor agradeceria implementen mandaron pdf factura gracias,buen app bonito pagar luz beni ende beni mejor agradecerio implementar mandar pdf factura gracias
"Me gustaría que habiliten internacional con Perú, para yapear de Perú a Bolivia.",2,0,gustaría habiliten internacional perú yapear perú bolivia,gustaria habiliten internacional peru yapear peru bolivia,gustario habilitir internacional peru yapear peru bolivia
por favor sería bueno que se vea el comprobante es lo más importante en este tipo de transacción,1,0,favor bueno vea comprobante importante tipo transacción,favor bueno vea comprobante importante tipo transaccion,favor bueno ver comprobante importante tipo transaccion
"No me deja entrar a la app,se sale rapido",1,0,deja entrar appse sale rapido,deja entrar appse sale rapido,dejar entrar appse salir rapido
Muy buen trabajo,5,0,buen trabajo,buen trabajo,buen trabajo
Muy mala no puede crear mi cuenta,1,0,mala puede crear cuenta,mala puede crear cuenta,malo poder crear cuenta
Buena experiencia,4,0,buena experiencia,buena experiencia,buen experiencia
Super,5,0,super,super,super
Para estar seguro,5,0,seguro,seguro,seguro
Super,5,0,super,super,super
Una buenísima aplicación,5,0,buenísima aplicación,buenisima aplicacion,buenisima aplicacion
Me acaban de robar 3bs yo me ise recarga de paquete entel 3bs por 24 hrs y no me llego me descontó 3bs pero no me llegaron los megas,1,1,acaban robar bs ise recarga paquete entel bs hrs llego descontó bs llegaron megas,acaban robar bs ise recarga paquete entel bs hrs llego desconto bs llegaron megas,acabar robar bs ise recargo paquete entel bs hrs llego desconto b llegar mega
Es rápida y eficiente,5,0,rápida eficiente,rapida eficiente,rapido eficiente
No puedo crear mi yape y no tengo ninguna cuenta¿Por qué?,2,0,puedo crear yape ninguna cuenta¿por,puedo crear yape ninguna cuenta¿por,poder crear yape ninguno cuenta¿por
Esta aplicación es una maravilla Es muy útil y fácil de usar,5,0,aplicación maravilla útil fácil usar,aplicacion maravilla util facil usar,aplicacion maravilla util facil usar
No veo la opcion de recargar para juegos,1,1,veo opcion recargar juegos,veo opcion recargar juegos,ver opcion recargar juegos
Muy buena,5,0,buena,buena,buen
Hola Buenos Dias Agradecerle por lo que hacen del día a día por nosotros que Nuestro Señor Jesucristo se lo multiplique muchísimo más 🤍✨🫂,5,0,hola buenos dias agradecerle hacen día día señor jesucristo multiplique muchísimo 🤍✨🫂,hola buenos dias agradecerle hacen dia dia senor jesucristo multiplique muchisimo 🤍✨🫂,holar buen dia agradecer él hacer dia dia senor jesucristo multiplique muchisimo 🤍 ✨ 🫂
TA chido,4,0,ta chido,ta chido,ta chido
Bueno,5,0,bueno,bueno,bueno
Es muy lento yape,2,0,lento yape,lento yape,lento yape
🤙,4,0,🤙,🤙,🤙
Dejen de molestar con los anuncios apenas puedo juguar😡😡,1,0,dejen molestar anuncios apenas puedo juguar😡😡,dejen molestar anuncios apenas puedo juguar😡😡,dejar molestar anuncio apenas poder juguar 😡 😡
Sería más fácil .. si yape te prestará dinero 🤑,3,0,fácil si yape prestará dinero 🤑,facil si yape prestara dinero 🤑,facil si yape prestar dinero 🤑
Es un fracaso,1,0,fracaso,fracaso,fracaso
Excepcional,5,0,excepcional,excepcional,excepcional
Es buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
No me deja crear cuenta PS dice que no está disponible la funcionalidad,1,2,deja crear cuenta ps dice disponible funcionalidad,deja crear cuenta ps dice disponible funcionalidad,dejar crear cuenta p decir disponible funcionalidad
Ola es buena aplicación lo único q quisiera esq cm somos de santa cruz bolivia y eh visto q en Perú ya asen permito préstamos acá igual lo validen y q cuando mandemos comprobante salga nombre ya q Aceves no sacamos cap y nos olvidamos después una buena aplicación,5,0,ola buena aplicación único q quisiera esq cm santa cruz bolivia eh visto q perú asen permito préstamos acá igual validen q mandemos comprobante salga nombre q aceves sacamos cap olvidamos después buena aplicación,ola buena aplicacion unico q quisiera esq cm santa cruz bolivia eh visto q peru asen permito prestamos aca igual validen q mandemos comprobante salga nombre q aceves sacamos cap olvidamos despues buena aplicacion,ola buen aplicacion unico q querer esq cm santa cruz bolivia eh visto q peru ar permito prestar aca igual validir q mandemos comprobante salir nombre q acev sacar cap olvidamos despu buen aplicacion
"Esta muy buena, la aplicación me brindo más seguridad y atención, pero tengo problemas para cambiar de número me produjo un error del internet nada grave me ayudarán en eso xfavor",4,1,buena aplicación brindo seguridad atención problemas cambiar número produjo error internet grave ayudarán xfavor,buena aplicacion brindo seguridad atencion problemas cambiar numero produjo error internet grave ayudaran xfavor,buen aplicacion brindo seguridad atencion problema cambiar numero producir error internet grave ayudarar xfavor
No me puede crear mi cuenta no me está gustando nada,1,0,puede crear cuenta gustando,puede crear cuenta gustando,poder crear cuenta gustar
Buena,5,0,buena,buena,buen
Super bien,5,0,super bien,super bien,super bien
Fulll,5,0,fulll,fulll,fulll
Bien,5,0,bien,bien,bien
Bien,5,0,bien,bien,bien
Es jenial,5,0,jenial,jenial,jenial
lo pude descargar pero no quiere abrir la app dice que no esta disponible la app,1,1,pude descargar quiere abrir app dice disponible app,pude descargar quiere abrir app dice disponible app,poder descargar querer abrir app decir disponible app
"Brinda, un buen servicio.",4,1,brinda buen servicio,brinda buen servicio,brindar buen servicio
Se colgo,5,0,colgo,colgo,colgo
En el día excelente pero en la noche se pierde el sistema deberían corregir esa falla ...,2,1,día excelente noche pierde sistema deberían corregir falla,dia excelente noche pierde sistema deberian corregir falla,dia excelente noche perder sistema deberiar corregir falla
Pésimo xq no entra en el mío,1,0,pésimo xq entra,pesimo xq entra,pesimo xq entrar
Horrible mucho se cuelga el sistema no la recomiendo,1,1,horrible cuelga sistema recomiendo,horrible cuelga sistema recomiendo,horrible colgar sistema recomeir
Excelente aplicación pero para los estafadores que utilizan esta ap para que los depositan y no se pueda devolver el dinero obtenido y lo peor se inventan datos ni para denunciarlos con esta ap tanta personas cayeron estafadas,4,0,excelente aplicación estafadores utilizan ap depositan pueda devolver dinero obtenido peor inventan datos denunciarlos ap tanta personas cayeron estafadas,excelente aplicacion estafadores utilizan ap depositan pueda devolver dinero obtenido peor inventan datos denunciarlos ap tanta personas cayeron estafadas,excelente aplicacion estafador utilizar ap depositar poder devolver dinero obtenido peor inventar dato denunciarlo ap tanto persona caer estafada
Excelente,5,0,excelente,excelente,excelente
Genial,5,0,genial,genial,genial
No me puede funcionar,2,0,puede funcionar,puede funcionar,poder funcionar
NO SIRVE,1,0,sirve,sirve,servir
Bien nomas pero no deja crear cuenta,5,0,bien nomas deja crear cuenta,bien nomas deja crear cuenta,bien noma dejar crear cuenta
"La app es muy buena, pero deberían de aceptar menores de edad, pero que las cuentas sean controladas por los padres, pero fuera de eso, la app es demasiado útil.",3,0,app buena deberían aceptar menores edad cuentas controladas padres app demasiado útil,app buena deberian aceptar menores edad cuentas controladas padres app demasiado util,app buen deberiar aceptar menor edad cuenta controlado padr app demasiado util
"La peor aplicación, no son capaces de tener un buen reconocimiento facial como otros aplicativos que no hacen tanto show por recuperar las cuentas",1,3,peor aplicación capaces tener buen reconocimiento facial aplicativos hacen show recuperar cuentas,peor aplicacion capaces tener buen reconocimiento facial aplicativos hacen show recuperar cuentas,peor aplicacion capaz tener buen reconocimiento facial aplicativo hacer show recuperar cuenta
Cuándo intenté recuperar mi cuenta de un bloqueo los que manejan WhatsApp no me ayudaron ni respondieron mi mensajes la verdad muy mala atención,1,1,cuándo intenté recuperar cuenta bloqueo manejan whatsapp ayudaron respondieron mensajes verdad mala atención,cuando intente recuperar cuenta bloqueo manejan whatsapp ayudaron respondieron mensajes verdad mala atencion,cuando intentar recuperar cuenta bloqueo manejar whatsapp ayudar responder mensaje verdad malo atencion
Por ahora me está resultando útil,4,0,ahora resultando útil,ahora resultando util,ahora resultar util
Buenas,5,0,buenas,buenas,buena
No me permite crear una cuenta,1,0,permite crear cuenta,permite crear cuenta,permitir crear cuenta
No puedo recargar credito me sale recarga fallida,5,0,puedo recargar credito sale recarga fallida,puedo recargar credito sale recarga fallida,poder recargar credito salir recargo fallido
No m deja crearme una cuenta me sale error ya nose que hacer,1,0,m deja crearme cuenta sale error nose hacer,m deja crearme cuenta sale error nose hacer,m dejar crearme cuenta salir error no él hacer
Estoy a gusto con yape x q tengo mi negocio i mis clientes me pagan con yape i es seguro i practico,5,0,gusto yape x q negocio i clientes pagan yape i seguro i practico,gusto yape x q negocio i clientes pagan yape i seguro i practico,gusto yape x q negocio i cliente pagar yape i seguro i practico
Pésima aplicación,1,0,pésima aplicación,pesima aplicacion,pesimar aplicacion
Buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
"Funciona bien al principio pero después se cuelga, entras y aparece error",3,0,funciona bien principio después cuelga entras aparece error,funciona bien principio despues cuelga entras aparece error,funcionar bien principio despues colgar entra aparecer error
"Pongan el gaming para recargar para los juegos como Roblox o fre fire sería algo bueno, hay arta gente que lo están pidiendo.",5,0,pongan gaming recargar juegos roblox fre fire bueno arta gente pidiendo,pongan gaming recargar juegos roblox fre fire bueno arta gente pidiendo,poner gaming recargar juegos roblox fre fire bueno artar gente pedir
No me permite crear mí cuenta.,1,0,permite crear cuenta,permite crear cuenta,permitir crear cuenta
Es majnifico ☺️☺️,5,0,majnifico ☺️☺️,majnifico ☺☺,majnifico ☺ ☺
"Yape Bolivia puede recibir dinero de manera internacional??? . Es que instale esta versión de Yape ya q soy de Bolivia per quisiera ganar ingresos con pagos de otros países. Por eso la pregunta (¿se puede recibir pagos de manera internacional, con Yape Bolivia??!)",4,7,yape bolivia puede recibir dinero manera internacional instale versión yape q bolivia per quisiera ganar ingresos pagos países pregunta ¿se puede recibir pagos manera internacional yape bolivia,yape bolivia puede recibir dinero manera internacional instale version yape q bolivia per quisiera ganar ingresos pagos paises pregunta ¿se puede recibir pagos manera internacional yape bolivia,yape bolivia poder recibir dinero manera internacional instalar version yape q bolivia per querer ganar ingreso pago país preguntar ¿ él poder recibir pago manero internacional yape bolivia
"Es muy buena, puedes tener tus Bolivianos en yape, de forma digital y no se puede perder ni fregar los billetes porque es digital y dentro de la app puedes pagar tus servicios de hogar, yape es excelente 😁😁",5,70,buena puedes tener bolivianos yape forma digital puede perder fregar billetes digital dentro app puedes pagar servicios hogar yape excelente 😁😁,buena puedes tener bolivianos yape forma digital puede perder fregar billetes digital dentro app puedes pagar servicios hogar yape excelente 😁😁,buen poder tener boliviano yape forma digital poder perder fregar billete digital dentro app poder pagar servicio hogar yape excelente 😁 😁
Colorido Eficiente Real Yendo,4,0,colorido eficiente real yendo,colorido eficiente real yendo,colorido eficiente real ir
Me parace Buena LA application,2,0,parace buena application,parace buena application,parace buen application
No puedo creer que no dejen usar nuestro número que crean con otro número,1,0,puedo creer dejen usar número crean número,puedo creer dejen usar numero crean numero,poder creer dejen usar numero crear numero
Exelente 20 estrellas les doy,5,0,exelente estrellas doy,excelente estrellas doy,excelente estrella dar
"Pésimo , no puedo crear cuenta me aparece que surgió un inconveniente inténtalo más tarde",1,2,pésimo puedo crear cuenta aparece surgió inconveniente inténtalo tarde,pesimo puedo crear cuenta aparece surgio inconveniente intentalo tarde,pesimo poder crear cuenta aparecer surgio inconveniente intentalo tarde
"No puedo ingresar, ya que no puedo crear mi cuenta",1,0,puedo ingresar puedo crear cuenta,puedo ingresar puedo crear cuenta,poder ingresar poder crear cuenta
No entiendo porque? No me deja entrar que me dice que no esta disponible todo el tiempo,1,0,entiendo deja entrar dice disponible tiempo,entiendo deja entrar dice disponible tiempo,entender dejar entrar decir disponible tiempo
Muy buena,5,0,buena,buena,buen
Muy buena aplicacion,4,0,buena aplicacion,buena aplicacion,buen aplicacion
Muy mala la aplicación ineficiente con problemas en servicios con fallas en su sistema,1,1,mala aplicación ineficiente problemas servicios fallas sistema,mala aplicacion ineficiente problemas servicios fallas sistema,malo aplicacion ineficiente problema servicio falla sistema
Se me bloqueo la cuenta y es difícil desbloquearlo hasta hoy no puedo acceder al yape,1,1,bloqueo cuenta difícil desbloquearlo hoy puedo acceder yape,bloqueo cuenta dificil desbloquearlo hoy puedo acceder yape,bloqueo contar dificil desbloquear él hoy poder acceder yape
yape es una buena aplicación en todos lados dar el yape,5,0,yape buena aplicación lados dar yape,yape buena aplicacion lados dar yape,yape buen aplicacion lado dar yape
"Lo instalo pero no abre, solución por favor",1,0,instalo abre solución favor,instalo abre solucion favor,instalo abrir solucion favor
No deja ni crear cuenta XD,1,0,deja crear cuenta xd,deja crear cuenta xd,dejar crear cuenta xd
Bien no mas,5,0,bien mas,bien mas,bien mas
"Muy buena app, sirve bastante para cuidar mejor el dinero y eso, sin embargo el servicio de chip al activar doble carga y mandarme una recarga simplemente me manda el mismo monto q recargo x más q activo mi doble carga, lo demás excelente",4,8,buena app sirve bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recarga simplemente manda mismo monto q recargo x q activo doble carga demás excelente,buena app sirve bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recarga simplemente manda mismo monto q recargo x q activo doble carga demas excelente,buen app servir bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recargo simplemente mandar mismo monto q  recarguir x q activo doble carga demas excelente
"La aplicación es buena, pero no hay ni un cajero donde se pueda ingresar dinero",1,3,aplicación buena cajero pueda ingresar dinero,aplicacion buena cajero pueda ingresar dinero,aplicacion buen cajero poder ingresar dinero
Bien,5,0,bien,bien,bien
Me gusta la aplicación y de hecho es muy eficiente para pagos a distancia sin embargo me gustaría que podamos usar los de 16 años,3,1,gusta aplicación hecho eficiente pagos distancia embargo gustaría podamos usar años,gusta aplicacion hecho eficiente pagos distancia embargo gustaria podamos usar anos,gustar aplicacion hecho eficiente pago distancio embargo gustario poder usar ano
no me deja crear un cuenta q mal servicio,1,0,deja crear cuenta q mal servicio,deja crear cuenta q mal servicio,dejar crear cuenta q mal servicio
Al principio estaba bien pero ahora me bloquearon,2,0,principio bien ahora bloquearon,principio bien ahora bloquearon,principio bien ahora bloquear
No puedo recuperar mi yape ....!!cambie de telefono,3,0,puedo recuperar yape cambie telefono,puedo recuperar yape cambie telefono,poder recuperar yape cambiar telefono
Buenísimo,5,0,buenísimo,buenisimo,buenisimo
Muy bueno,5,0,bueno,bueno,bueno
Excelente app gracias bcp,5,0,excelente app gracias bcp,excelente app gracias bcp,excelente app gracias bcp
Bien,5,0,bien,bien,bien
Trato de realizar una transacción y me bota de la aplicación la cual tengo que volver a ingresar... Esto pasa cuando deseo recargar me crédito gracias.,2,2,trato realizar transacción bota aplicación volver ingresar pasa deseo recargar crédito gracias,trato realizar transaccion bota aplicacion volver ingresar pasa deseo recargar credito gracias,tratar realizar transaccion boto aplicacion volver ingresar pasar desear recargar credito gracias
Me gusta,5,0,gusta,gusta,gustar
Cuesta crear la aplicación,2,0,cuesta crear aplicación,cuesta crear aplicacion,costar crear aplicacion
"Quiero abrir mi cuenta pero me sale que no está disponible la funcionalidad, pero me llega notificaciones qué estoy a un paso de abrir mi cuenta, cuando nisiquiera quiere dar su maldita aplicación",1,18,quiero abrir cuenta sale disponible funcionalidad llega notificaciones paso abrir cuenta nisiquiera quiere dar maldita aplicación,quiero abrir cuenta sale disponible funcionalidad llega notificaciones paso abrir cuenta nisiquiera quiere dar maldita aplicacion,querer abrir cuenta salir disponible funcionalidad llegar notificación pasar abrir cuenta nisiquiero querer dar maldita aplicacion
Hio yape desbloquear iap Claudio rojas villez,2,0,hio yape desbloquear iap claudio rojas villez,hio yape desbloquear iap claudio rojas villez,hio yape desbloquear iap claudio rojo villez
Es buena aplicación 🤗,5,1,buena aplicación 🤗,buena aplicacion 🤗,buen aplicacion 🤗
"Muy buena aplicación ,pero quiero recargarme crédito para viva y no me sale no sé el porqué pero aquí dice que si se puede hacer esa recarga 🧐",4,1,buena aplicación quiero recargarme crédito viva sale sé porqué aquí dice si puede hacer recarga 🧐,buena aplicacion quiero recargarme credito viva sale se porque aqui dice si puede hacer recarga 🧐,buen aplicacion querer recargarme credito viva salir él porque aqui decir si poder hacer recarga 🧐
Me gusta la app muu buena,5,0,gusta app muu buena,gusta app muu buena,gustar app muu buen
Es una buena aplicación porque aveces no tienes en efectivo pero gracias a yape ya no me preocupo,5,0,buena aplicación aveces efectivo gracias yape preocupo,buena aplicacion aveces efectivo gracias yape preocupo,buen aplicacion avez efectivo gracias yape preocupo
Exelente muy buena hasta el momento,5,0,exelente buena momento,excelente buena momento,excelente buen momento
Es una experiencia perfecta gracias yape me ayudas arto,5,0,experiencia perfecta gracias yape ayudas arto,experiencia perfecta gracias yape ayudas arto,experiencia perfecto gracias yape ayuda arto
muy bueno,5,0,bueno,bueno,bueno
Es una app que te ayuda a pagar luz agua y cobrar,5,0,app ayuda pagar luz agua cobrar,app ayuda pagar luz agua cobrar,app ayudar pagar luz agua cobrar
Al momento de iniciar la aplicación no me deja registrarme salta un error que impide el registro solucionenlo 😡🤬,1,1,momento iniciar aplicación deja registrarme salta error impide registro solucionenlo 😡🤬,momento iniciar aplicacion deja registrarme salta error impide registro solucionenlo 😡🤬,momento iniciar aplicacion dejar registrar yo salta error impedir registro solucionenlo 😡 🤬
Es muy bueno se lo recomiendo,5,0,bueno recomiendo,bueno recomiendo,bueno recomeir
Se cierra la aplicación cuando quiero entrar. Ala galería para escanear una imagen con qr alguna solución porfavor,2,3,cierra aplicación quiero entrar ala galería escanear imagen qr alguna solución porfavor,cierra aplicacion quiero entrar ala galeria escanear imagen qr alguna solucion porfavor,cerrar aplicacion querer entrar ala galerio escanear imagen qr alguno solucion porfavor
"La acabo de descargar, intento crear cuenta y me dice ""en este momento no esta disponible esta funcionalidad"" si asi funsiona mejor ni me arriezgo, desisntalando...",1,3,acabo descargar intento crear cuenta dice momento disponible funcionalidad si asi funsiona mejor arriezgo desisntalando,acabo descargar intento crear cuenta dice momento disponible funcionalidad si asi funsiona mejor arriezgo desisntalando,acabar descargar intento crear cuenta decir momento disponible funcionalidad si asi funsiona mejor arriezgo desisntalar
La creación de la cuenta yapes esta bien,3,0,creación cuenta yapes bien,creacion cuenta yapes bien,creacion contar yap bien
Terrible aplicación intente crear una cuenta y me sale no disponible lo Instale 3 veces y no da perdida de tiempo,1,0,terrible aplicación intente crear cuenta sale disponible instale veces da perdida tiempo,terrible aplicacion intente crear cuenta sale disponible instale veces da perdida tiempo,terrible aplicacion intente crear cuenta salir disponible instalar vez dar perdido tiempo
Bien,5,0,bien,bien,bien
Muy bueno gracias por la aplicación,5,0,bueno gracias aplicación,bueno gracias aplicacion,bueno gracias aplicacion
Genial,5,0,genial,genial,genial
Pague con la apps tigo money me descontó 20 bs yape pero a tigo no le llego arreglen su error por favor por que ni me hicieron devolución,1,1,pague apps tigo money descontó bs yape tigo llego arreglen error favor hicieron devolución,pague apps tigo money desconto bs yape tigo llego arreglen error favor hicieron devolucion,pagar apps tiguir money desconto b yape tigo llego arreglir error favor hacer devolucion
"Me encanta puedes pagar facturas como agua, luz, tu wi-fi. Haces tus tranferencia para algún pago o compra. Ojalá siga adelante implementando préstamos de crédito así como en yape Perú .☺️",4,2,encanta puedes pagar facturas agua luz wifi haces tranferencia algún pago compra ojalá siga adelante implementando préstamos crédito así yape perú ☺️,encanta puedes pagar facturas agua luz wifi haces tranferencia algun pago compra ojala siga adelante implementando prestamos credito asi yape peru ☺,encantar poder pagar factura agua luz wifi haces tranferencia algun pago compra ojala seguir adelante implementar prestamo credito asi yape peru ☺
Mala,2,0,mala,mala,malo
Muy buena,5,0,buena,buena,buen
Que pasó con las recargas de paquetes? Ya no se puede comprar ni activar,3,0,pasó recargas paquetes puede comprar activar,paso recargas paquetes puede comprar activar,paso recarga paquet poder comprar activar
Mal aplicación como q no funciona en la madrugada no sirve para nada.,1,1,mal aplicación q funciona madrugada sirve,mal aplicacion q funciona madrugada sirve,mal aplicacion q funcionar madrugada servir
Es muy utilizada,5,0,utilizada,utilizada,utilizar
Ni me dejaba iniciar seción,1,0,dejaba iniciar seción,dejaba iniciar secion,dejar iniciar secion
Grasias es la primera ves queroentrar al préstamo,5,0,grasias primera ves queroentrar préstamo,grasias primera ves queroentrar prestamo,grasia primero ves queroentrar prestamir
